Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-30 03:43:38+00:00,CJMalaysia,"Selangor state government has introduced a program that uses vending machines to provide food assistance and promote government initiatives to the B40 community

Read more: https://t.co/BAOuNttwES https://t.co/DeeZPomQOf",Kuala Lumpur,selangor state government introduced program us vending machine provide food assistance promote government initiative b community read
2023-03-01 10:07:06+00:00,Media_Selangor,Selangor Journal | KPDN to send food bank assistance to flood-affected areas — Minister https://t.co/09zMclclMc https://t.co/1bWUrzYvSi,Shah Alam,selangor journal kpdn send food bank assistance floodaffected area minister
2023-02-07 07:29:03+00:00,Media_Selangor,"Selangor Journal | Permatang state rep hands over cash assistance, food items to fire victims https://t.co/DfrKLKKNE8 https://t.co/k0v8E6FM9v",Shah Alam,selangor journal permatang state rep hand cash assistance food item fire victim
2023-01-19 14:15:34+00:00,Media_Selangor,Selangor Journal | Education Ministry proposes increase to preschool food assistance rate in Budget 2023 https://t.co/TSB6p3dn0j https://t.co/ah1tHaD4t0,Shah Alam,selangor journal education ministry proposes increase preschool food assistance rate budget
