Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-24 09:56:51+00:00,teapotstef,"people yelling or being mad at me, not having enough money to buy someone a gift, not receiving the same effort, my fav food being unavailable","Miri, Sarawak",people yelling mad enough money buy someone gift receiving effort fav food unavailable
2023-02-28 01:12:49+00:00,AlannaEloa,"That time I didn't have Passport in Australia. After this I have Passport so no need to worry so much World. I'd loved you too💚. Hungry is my money enough/not to buy food. I said, healthy like protein bars, fresh blended fruits and veggies, nuts, beans are advisable in Pool part",,time didnt passport australia passport need worry much world id loved hungry money enoughnot buy food said healthy like protein bar fresh blended fruit veggie nut bean advisable pool part
