Datetime,Username,Text,Location,Cleaned_Tweets
2022-11-15 12:49:51+00:00,emkey,I’m an avid cyclist on a calorie restricted diet for my climber weight… so nope. Not even true for all sporty cyclists… add there are vegan cyclists as well,Pasig City,im avid cyclist calorie restricted diet climber weight nope even true sporty cyclist add vegan cyclist well
2022-08-29 13:37:19+00:00,ZackAvaricious,"I would love to eat the mochi but im on calories restricted diet😫

Hmmm squishy things in your mouth… yabaiiiii",Flat Earth,would love eat mochi im calorie restricted diet hmmm squishy thing mouth yabaiiiii
