Datetime,Username,Text,Cleaned_Tweets
24/3/2023,SkinCo by The Daily Essencials,"Missed our Grand Opening day? Don’t worry, we’ve got you covered. Catch a glimpse of all the action during the event. (Part 1)

Enjoy watching ??

#SkinCoSGOpening
#AlexaGoesToSkinCo #TheDailyEssencials #AlexaforTheDailySkin #SkinCoSG #TheDailySkin https://t.co/ytYyJSGKiq",missed grand opening day dont worry weve got covered catch glimpse action event part enjoy watching
24/3/2023,Aidah Samah,"Dont worry, be happy... https://t.co/ZpszXr6dJ7",dont worry happy
24/3/2023,Football Manager Ed ????,@tsukiyaii It's a worry everywhere especially those aging nations macam Japan. Sebab tu time Shinzo Abe meninggal dulu meme ni popular sebab issue low population (I assume)... https://t.co/N3kPHob47q,worry everywhere especially aging nation macam japan sebab tu time shinzo abe meninggal dulu meme ni popular sebab issue low population assume
24/3/2023,Matt Anderson,"@NeilPagey I’ve been exercising a lot, fast 16 hours a day, don’t smoke, rarely drink. You can’t assume anything!
Well worth an annual checkup, too many of us just don’t worry…!",ive exercising lot fast hour day dont smoke rarely drink cant assume anything well worth annual checkup many u dont worry
24/3/2023,Matt Anderson,"@lancaster_rona Agree on the tests, most people just don’t worry until something comes along! Good luck with your bypass.",agree test people dont worry something come along good luck bypass
24/3/2023,?? Nat Kang Comedy ????,"PN, PN. Always worried about youths being corrupted by the creative industries, but never by drugs, child marriage, or even not having clean water. https://t.co/fehmFgIBAj",pn pn always worried youth corrupted creative industry never drug child marriage even clean water
24/3/2023,MC10,@jowen123456 @IFTVofficial Maybe for the first trial but Prisma trial is the one they are worried about !,maybe first trial prisma trial one worried
25/3/2023,Mario Hennenberger,"@ProfessorF @elonmusk nothing to worry, microsoft will ruin it in the process, thats what they do best after all ;)",nothing worry microsoft ruin process thats best
26/3/2023,Ranajit Dam ??,"Of all the things Lebanon has to worry about, this shouldn't have been one https://t.co/tnLDfJMkas",thing lebanon worry shouldnt one
26/3/2023,Adam,@eustachianRP @trader1sz What tf- I’d only worry about daily tbh,tf id worry daily tbh
26/3/2023,Dinesh Nair,"""The party insider said national chairman Lim Guan Eng is behind the moves against the Ramasamy camp, and wants to bring in “his people” because “the Lim family is worried they might lose control of the party”.""

Well, well, well.
https://t.co/HTz9oIwVD8",party insider said national chairman lim guan eng behind move ramasamy camp want bring people lim family worried might lose control party well well well
26/3/2023,Magdalene Tan,"@michaelturton @donovan_smith @FormosanMacaque C’mon, Lai Ching-te is polling far ahead, and contrary to the Blue camp’s hopes, Ko will never leave the election. 2024 belongs to Lai. Don’t worry!!",cmon lai chingte polling far ahead contrary blue camp hope ko never leave election belongs lai dont worry
27/3/2023,N E Y R A,So many kawan2 kena lung infection this month. Worried. All of em are non smokers. Mostly sebab batuk2,many kawan kena lung infection month worried em non smoker mostly sebab batuk
27/3/2023,diyana lamin,"@Cakni_Aan Faham babe, went thru this early this year.sampai demam2.. but don’t worry.. meh pelukz.. the first step is to recognise where u fall short, knowing this is good enuf coz it’ll help u progress to solution .. boleh babe????????our failure does not define us. We are better than this!",faham babe went thru early yearsampai demam dont worry meh pelukz first step recognise u fall short knowing good enuf coz itll help u progress solution boleh babeour failure define u better
27/3/2023,????????? ??,@iqasyaa___ Yeah everyone seen worry but I see dunk also enjoy party ?? just don’t have moment with Joong cuz Joong busy ship oother couple ?? I hope day 2 have many moment of JD too,yeah everyone seen worry see dunk also enjoy party dont moment joong cuz joong busy ship oother couple hope day many moment jd
27/3/2023,Dean Ujang,Just feel a little bit down lately. Worry about my future. About everything! You have no idea!,feel little bit lately worry future everything idea
28/3/2023,Joseph John Adams,@RichardGrenell Where I live in Asia no kid has to worry about being gunned down in school. This shit in America is utter madness and no one out here takes America seriously. You’ve lost whatever moral authority you once had.,live asia kid worry gunned school shit america utter madness one take america seriously youve lost whatever moral authority
28/3/2023,Ooi Beng Cheang,So much to be grateful for that I am in Malaysia. One less thing to worry about - school shootings. https://t.co/KqaiypYGwG,much grateful malaysia one le thing worry school shooting
29/3/2023,Sebastian Ng,"@xatyrosdi I worry that all these stupidities will help them solidify support within their constituencies & voters.

We've seen it happen in the last 6 years in how citizens interact with politics in the US & UK, and the patterns are similar to here.",worry stupidity help solidify support within constituency voter weve seen happen last year citizen interact politics u uk pattern similar
29/3/2023,???? ??????,She must have felt really ill this time. She slimed down by a lot and I’m just worried about her health.,must felt really ill time slimed lot im worried health
29/3/2023,Abyad.,"Struggle to cope with Client Editing Dateline and Raya Project, but worry not I will try my best to deliver all this Photos and Album as I can.

Bye.",struggle cope client editing dateline raya project worry try best deliver photo album bye
29/3/2023,naz | Jisoo defenfer,Chu Chu mcm terenc*t nama. Worry about ha non existence career first. https://t.co/YcdMMFleMW,chu chu mcm terenct nama worry ha non existence career first
29/3/2023,Joseph John Adams,"@tomricks1 Kids here in Singapore as well as kids of my friends in Aussie, NZ, Korea, Japan (where I am heading today) don’t have to worry about going to school or malls, or shops … from outside the US this looks like madness.",kid singapore well kid friend aussie nz korea japan heading today dont worry going school mall shop outside u look like madness
30/3/2023,shaklin sania ??????????,"@ztyyyrzli yes you should sbb virus banyak sgt nowadays, in shaa Allah ppl will understand dont worry. yg tak paham tu cubit je dia. safety & health baby boys no.1 ????",yes sbb virus banyak sgt nowadays shaa allah ppl understand dont worry yg tak paham tu cubit je dia safety health baby boy
30/3/2023,Adrian Pereira #ViralisingSolidarity,"I am worried about the whole labour sector. As long as employers can make any worker work in forced labour conditions, Malaysian workers will be the biggest losers. https://t.co/ne5OpJa9rf",worried whole labour sector long employer make worker work forced labour condition malaysian worker biggest loser
30/3/2023,Michael Yip ??,"Why is this MP making Langkawi voters feel like idiots for putting him into office.

Watched too many spy drama on telenovela until worried about his own shadow?

https://t.co/YTJ6hCXj4C",mp making langkawi voter feel like idiot putting office watched many spy drama telenovela worried shadow
30/3/2023,dafreebec?????????????,"hello I'm from Indonesia
 I'm a freenbecky fan nice to meet you??
I'm just worried about p'freen I hope he gets well soon My days are happy because of their presence My life has become more meaningful since the presence of the two of them 
 Get well soon baby freen #srchafreen https://t.co/TGB6cdvint",hello im indonesia im freenbecky fan nice meet im worried pfreen hope get well soon day happy presence life become meaningful since presence two get well soon baby freen
30/3/2023,????|| D-18 Jay's birthday ??,"@bbvxjj @nongjakekub So that's what I said, like TXT at that time secretly went to Indonesia to make the MV. But the problem in Paris is in trouble, I'm so worried about their safety there. https://t.co/L4Tr1eUpKc",thats said like txt time secretly went indonesia make mv problem paris trouble im worried safety
31/3/2023,D Raguram Reddy,@_sayema Oh my Krsna why can’t  let people leave in peace. Must be this people agents of kaliyuga  . Don’t worry my friend keep disturbing peace of  others bloody morons it will haunt you soon .,oh krsna cant let people leave peace must people agent kaliyuga dont worry friend keep disturbing peace others bloody moron haunt soon
31/3/2023,Emperor Alleef Ashaari,"Riverdale 
#Riverdale 
#RiverdaleSeason7 
@CW_Riverdale 
Season 7 / Final Season Episode 1 
Chapter One Hundred & Eighteen: 
'Don't Worry Darling' 
Starring the beautiful & talented @lilireinhart, @CamilaMendes, @madelainepetsch, etc. 
Based on the @ArchieComics. 
On @NetflixMY. https://t.co/pTzE24W18r",riverdale season final season episode chapter one hundred eighteen dont worry darling starring beautiful talented etc based
31/3/2023,The Pattaya News Thailand,"#Phuket officials say black water on #Patong Beach is just plankton bloom and nothing to be worried about.

https://t.co/2wT89zmFHV https://t.co/D4ySHdw4kd",official say black water beach plankton bloom nothing worried
